population,reagent,Condition,median,variance,uniquePopulationName,parentPopulation,channel,Species,statistic,uniquePopulationName_right,parentPopulation_right,channel_right,Species_right,statistic_right,std
CD16+/CD11b-,pP38,LPS,12.139245510101318,115.08543422042429,CD16+/CD11b-,HLA-DR+/CD7-,Sm154Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm154Di,Human,median,18.826315514023776
CD11b-/CD16-,pSTAT1,IFNa2,23.682649612426758,233.75068777568393,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,26.5957063887695
CD16+/CD11b-,pTBK1,LPS,159.46826362609863,21540.064663436748,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Dy161Di,Human,median,160.50700394631338
CD11b+/CD16-,pTBK1,R848,170.10339975357056,8395.120697166167,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Dy161Di,Human,median,102.35166605030282
CD16+/CD11b-,pSTAT1,IFNg,29.210437774658203,238.4371573124899,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm147Di,Human,median,39.61679915865423
CD16+/CD11b+,pSTAT3,R848,11.007179260253906,3067.037948402823,CD16+/CD11b+,HLA-DR+/CD7-,La139Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,La139Di,Human,median,104.58101204737257
Basophils,pCREB,GM-CSF,11.701156616210938,52.164239990662566,Basophils,Singlets,Nd145Di,Human,median,Basophils,Singlets,Nd145Di,Human,median,17.02869570256208
CD11b+/CD16-,pSTAT5,GM-CSF,79.83641242980957,289.62196651478325,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm149Di,Human,median,31.89835347406111
CD16+/CD11b+,pP38,LPS,12.358997344970703,145.13560905074195,CD16+/CD11b+,HLA-DR+/CD7-,Sm154Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm154Di,Human,median,20.70405221553371
CD16+/CD11b+,pSTAT1,IFNb,44.321237564086914,443.10264019292356,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Sm147Di,Human,median,51.450759314990584
Basophils,pSTAT5,IFNb,20.22567081451416,57.00995754209616,Basophils,Singlets,Sm149Di,Human,median,Basophils,Singlets,Sm149Di,Human,median,17.950340413709668
B Cells,pCREB,PMAIono,19.424527168273926,190.08511930510986,B Cells,CD45+ CD66-,Nd145Di,Human,median,B Cells,CD45+ CD66-,Nd145Di,Human,median,22.25213567380261
CD4+/CD8+,pSTAT3,PMAIono,11.234928131103516,4681.033861680554,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,113.98050164901991
CD11b-/CD16-,pErk1/2,TNFa,12.925903797149658,117.68474093099191,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Sm152Di,Human,median,29.81063238072365
CD4+T cells,pSTAT6,IL-4,38.852489948272705,131.16909129172495,CD4+T cells,T Cells,Ho165Di,Human,median,CD4+T cells,T Cells,Ho165Di,Human,median,16.678436260963075
CD16+/CD11b-,pSTAT5,IFNa2,10.347888469696045,31.40770314146354,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,CD16+/CD11b-,HLA-DR+/CD7-,Sm149Di,Human,median,16.369479944166677
CD4+/CD8+,pSTAT5,IFNa2,10.144332885742188,43.208745988116135,CD4+/CD8+,T Cells,Sm149Di,Human,median,CD4+/CD8+,T Cells,Sm149Di,Human,median,16.077364758549066
CD4+/CD8+,pSTAT3,CD40L,10.960960388183594,2401.0541290492483,CD4+/CD8+,T Cells,La139Di,Human,median,CD4+/CD8+,T Cells,La139Di,Human,median,97.35029030387462
CD16+/CD11b+,pTBK1,R848,344.2286319732666,36113.35545010974,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,CD16+/CD11b+,HLA-DR+/CD7-,Dy161Di,Human,median,208.75552973077765
CD11b-/CD16-,p4E-BP1,PMAIono,-10.335772514343262,67.58320669924504,CD11b-/CD16-,HLA-DR+/CD7-,Yb172Di,Human,median,CD11b-/CD16-,HLA-DR+/CD7-,Yb172Di,Human,median,13.383523206667492
CD11b+/CD16-,pSTAT1,IFNg,25.864667892456055,221.40852799958932,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,Sm147Di,Human,median,38.87552090513067
CD11b+/CD16-,pSTAT3,IFNb,12.946456909179688,1084.134407056187,CD11b+/CD16-,HLA-DR+/CD7-,La139Di,Human,median,CD11b+/CD16-,HLA-DR+/CD7-,La139Di,Human,median,76.10685178471434
