population,reagent,Condition,median,variance
CD4+T cells,pSTAT3,IL-6,54.47086429595947,2352.0530920706437
CD4+/CD8+,pSTAT1,IL-12,40.56882858276367,NaN
CD16+/CD11b+,Ki67,IFNb,22.422921657562256,268.55484268816656
CD7+/HLA-DR-,pS6,IL-4,40.20723819732666,529.1781865883407
Neutrophils,pSTAT5,CD40L,15.540728092193604,114.83002568004956
CD16+/CD11b-,pMAPKAPK2,IL-12,11.980269193649292,20.256788764382424
CD11b-/CD16-,pP38,IFNb,20.133971214294434,131.47712108476986
pDCs,pSTAT4,GM-CSF,10.215282440185547,NaN
CD11b+/CD16-,pSTAT3,IL-2,85.3675708770752,4912.048592157927
CD11b+/CD16-,pTBK1,Basal,13.00348687171936,103.36962662639898
CD8+T cells,pSTAT4,GM-CSF,5.931324243545532,11.277255310457033
Neutrophils,p4E-BP1,IFNa2,6.5918155908584595,7.49420495392254
CD4+T cells,pCREB,IL-4,17.86387062072754,75.68446054532832
CD7+/HLA-DR-,pSTAT6,IL-12,5.152818322181702,15.960461302833846
Basophils,pTBK1,CD40L,11.612581014633179,76.10544816356747
CD8+T cells,pErk1/2,LPS,26.79911756515503,218.57431849829197
pDCs,pErk1/2,IL-4,33.22531223297119,439.57435375209144
CD7+/HLA-DR-,pPLCg2,Anthrax,6.588234901428223,17.928968644213843
CD11b-/CD16-,pPLCg2,Ebola VLPs,10.112218856811523,33.79707978694873
Basophils,pSTAT1,Basal,24.81718921661377,162.71698622247186
CD16+/CD11b-,pSTAT1,R848,49.05244064331055,911.7907081262364
Basophils,Ki67,GM-CSF,16.29741859436035,67.77570703881173
Neutrophils,pP38,IFNa2,11.835197687149048,37.487991380493035
CD1c+ B cells,Ki67,IFNg,24.037694931030273,NaN
B Cells,pTBK1,Anthrax,11.309525966644287,76.7736003443591
CD4+T cells,pErk1/2,IFNb,28.671051502227783,247.66938621095952
pDCs,pTBK1,IFNb,9.823468685150146,87.72468598691214
CD4+/CD8+,pCREB,IL-4,29.47291851043701,NaN
CD4+/CD8+,pP38,CD40L,20.0150785446167,153.8211278343377
pDCs,pMAPKAPK2,IL-12,9.627378225326538,18.97372415753772
CD16+/CD11b-,pTBK1,IL-6,14.293346405029297,121.6006560674059
Neutrophils,pSTAT6,IL-2,4.042745471000671,14.381830501904062
Neutrophils,pErk1/2,Basal,87.22372627258301,1793.9071039145779
CD11b+/CD16-,pErk1/2,PMAIono,90.50348663330078,2004.870576906035
CD1c+ B cells,pMAPKAPK2,GM-CSF,8.2784104347229,NaN
CD11b-/CD16-,pCREB,IFNa2,36.19929313659668,331.3270469960917
CD7+/HLA-DR-,pMAPKAPK2,IL-12,5.426481246948242,9.13942824885307
CD16+/CD11b-,p4E-BP1,IL-6,19.708358764648438,60.45011636919726
CD4+T cells,pSTAT6,IFNg,4.95290994644165,13.313836381005553
B Cells,pSTAT5,Anthrax,14.4145667552948,83.5214692106811
Basophils,pP38,IFNb,11.290254831314087,37.89823958987577
CD4+T cells,pSTAT4,LPS,7.108258247375488,17.497223709822695
Neutrophils,IkBa,Anthrax,2.389565110206604,1.1141196730488812
CD1c+ B cells,p4E-BP1,PMAIono,35.01312446594238,NaN
CD1c+ B cells,pSTAT4,IL-12,10.650355815887451,NaN
CD11b+/CD16-,pMAPKAPK2,CD40L,13.35675048828125,29.042009243214306
CD1c+ B cells,pS6,IFNg,69.8311996459961,NaN
CD16+/CD11b-,pTBK1,LPS,172.02096557617188,24964.04640212872
B Cells,Ki67,Basal,16.948803424835205,89.48728148180035
CD16+/CD11b-,pSTAT1,LPS,52.94800567626953,985.7912410739946
Neutrophils,pSTAT1,Anthrax,26.959757804870605,302.5592906248294
CD16+/CD11b+,IkBa,Ebola VLPs,6.4202446937561035,11.467211678987361
Neutrophils,pSTAT5,R848,15.24794864654541,113.11796058333177
CD4+/CD8+,pS6,R848,78.40253257751465,NaN
CD16+/CD11b-,IkBa,Basal,5.09666645526886,5.1779452667097905
CD16+/CD11b+,pS6,IFNa2,83.37338066101074,2718.181470297449
CD11b+/CD16-,pMAPKAPK2,TNFa,18.573711395263672,39.21456772650667
CD11b+/CD16-,pSTAT6,IL-6,7.9356911182403564,49.15642256242423
B Cells,IkBa,IFNb,5.166105508804321,8.63196319791687
pDCs,pSTAT1,GM-CSF,21.8846697807312,NaN
pDCs,p4E-BP1,IL-6,40.86436367034912,216.59412262251524
CD4+/CD8+,pTBK1,IL-2,8.763548612594604,NaN
CD7+/HLA-DR-,pCREB,LPS,21.454227447509766,125.69797610738318
CD16+/CD11b+,pPLCg2,IL-12,16.24149751663208,177.2874179058882
CD16+/CD11b-,pSTAT3,R848,69.93109130859375,4520.3623914183745
CD11b+/CD16-,pZap70/Syk,IL-4,5.60831618309021,9.04622007016639
CD11b-/CD16-,pSTAT4,IL-2,13.436793804168701,54.04329151015229
Neutrophils,pMAPKAPK2,Anthrax,8.425322771072388,17.311901598098867
CD16+/CD11b+,pCREB,R848,64.23906326293945,1160.2324767721555
pDCs,pTBK1,IL-6,11.097004890441895,103.27068240318744
CD11b+/CD16-,pSTAT3,IL-4,84.6151123046875,5450.742146030181
CD16+/CD11b+,pTBK1,Ebola VLPs,14.66862678527832,222.52592682681322
CD1c+ B cells,pCREB,LPS,25.29074764251709,NaN
CD11b+/CD16-,IkBa,IL-2,8.659173250198364,26.058255583420124
B Cells,pSTAT3,R848,41.06874084472656,2443.3323898812314
CD4+/CD8+,pP38,PMAIono,21.18249225616455,NaN
Basophils,pSTAT4,R848,9.55272650718689,26.942448766532962
CD16+/CD11b-,p4E-BP1,IFNg,22.682393550872803,59.944780719168634
CD11b-/CD16-,IkBa,Ebola VLPs,10.793967723846436,38.73451917791677
CD11b+/CD16-,pSTAT6,PMAIono,7.407914638519287,50.998445851062
B Cells,IkBa,IL-4,5.1769514083862305,9.056184997927817
pDCs,pS6,PMAIono,69.33586692810059,1579.071978932705
CD11b+/CD16-,Ki67,R848,27.052590370178223,263.81721301406606
Basophils,pCREB,Anthrax,38.48898506164551,336.6496265846311
CD11b+/CD16-,pS6,LPS,74.7352523803711,1753.008061915867
B Cells,pErk1/2,PMAIono,53.290225982666016,809.8828917837553
CD16+/CD11b-,IkBa,PMAIono,4.707107782363892,4.25943418647734
CD1c+ B cells,pZap70/Syk,TNFa,6.097685813903809,NaN
pDCs,p4E-BP1,LPS,39.594491958618164,179.15441005497334
CD7+/HLA-DR-,Ki67,IL-2,11.484193325042725,51.641522554082
Neutrophils,pMAPKAPK2,R848,9.910686492919922,20.156744226080928
CD8+T cells,IkBa,IFNg,5.519552230834961,8.957287038976252
CD4+/CD8+,pPLCg2,Ebola VLPs,9.684333324432373,NaN
CD11b-/CD16-,pSTAT4,IL-4,13.486430644989014,48.512948323745725
CD1c+ B cells,pTBK1,CD40L,35.75664520263672,NaN
Basophils,p4E-BP1,CD40L,11.063419103622437,11.262060421240193
CD8+T cells,pSTAT3,Anthrax,51.37576389312744,2487.128952927367
CD4+/CD8+,p4E-BP1,PMAIono,9.916234016418457,NaN
CD11b-/CD16-,pZap70/Syk,IL-12,4.987564325332642,7.144410501356666
CD4+/CD8+,pPLCg2,TNFa,9.628901958465576,NaN
CD16+/CD11b+,pSTAT6,Anthrax,7.89557158946991,65.0011280324516
CD1c+ B cells,Ki67,LPS,22.1783549785614,NaN
CD11b+/CD16-,pSTAT4,R848,15.190987586975098,78.13193457159068
pDCs,pSTAT4,IL-12,9.87287449836731,42.661495930518534
CD4+/CD8+,IkBa,Anthrax,6.734974384307861,NaN
CD4+T cells,pMAPKAPK2,Basal,5.746914744377136,7.332213271435799
CD8+T cells,pSTAT4,CD40L,5.984622240066528,12.14044000717661
CD4+T cells,pTBK1,IL-6,7.327657699584961,33.04649626730161
CD7+/HLA-DR-,pSTAT6,TNFa,4.962938666343689,14.751043411407219
CD4+/CD8+,pSTAT1,IFNa2,60.13607120513916,NaN
CD11b+/CD16-,pErk1/2,CD40L,72.4680004119873,1777.3826185584578
CD16+/CD11b-,pSTAT4,CD40L,12.97380542755127,64.01325910385214
CD8+T cells,pSTAT6,Anthrax,4.096094608306885,11.099798240690074
Basophils,pZap70/Syk,IFNa2,2.954212248325348,2.468831402162432
B Cells,pErk1/2,LPS,26.61910581588745,192.32038042537553
B Cells,pPLCg2,LPS,6.687878251075745,12.028191074982647
pDCs,IkBa,IFNa2,10.240709781646729,31.370776117442222
Neutrophils,IkBa,GM-CSF,2.236886978149414,1.2378427103304208
CD7+/HLA-DR-,pSTAT4,IL-6,5.940733194351196,12.489701243066865
CD11b+/CD16-,pMAPKAPK2,IL-2,12.886638641357422,30.287040192376313
CD11b-/CD16-,pTBK1,IL-4,12.843899965286255,82.85293169635166
CD11b+/CD16-,Ki67,IFNg,28.729358673095703,298.1921222147876
CD16+/CD11b+,pSTAT4,IFNb,18.264354705810547,130.93613935159317
pDCs,pSTAT6,IFNb,21.53199005126953,156.73413144274951
CD7+/HLA-DR-,pZap70/Syk,IFNb,3.93281352519989,4.370623308618906
CD8+T cells,pMAPKAPK2,GM-CSF,5.564367175102234,7.2872180333223495
CD11b+/CD16-,pS6,R848,77.83139991760254,1747.1702133717754
pDCs,pP38,IL-4,23.833889961242676,209.91231693245336
B Cells,pSTAT6,IL-4,70.28519248962402,498.67844752001537
CD16+/CD11b-,pPLCg2,TNFa,14.562260150909424,85.17288297630591
Basophils,pMAPKAPK2,R848,7.524415731430054,10.811670567645129
Neutrophils,pCREB,CD40L,23.54362154006958,116.41609705858794
CD8+T cells,pS6,Basal,45.48106670379639,438.997385938371
pDCs,pErk1/2,Basal,33.17607307434082,439.2474966413363
CD8+T cells,pSTAT6,GM-CSF,4.063653826713562,10.2483608150118
CD1c+ B cells,pCREB,Basal,24.84794521331787,NaN
B Cells,pTBK1,IFNa2,11.009181499481201,59.694435579840864
Neutrophils,pTBK1,PMAIono,4.395607233047485,12.661054406378897
CD4+/CD8+,pP38,IL-2,21.978161811828613,NaN
CD11b-/CD16-,pMAPKAPK2,LPS,12.232192993164062,30.168645134253033
CD4+/CD8+,pPLCg2,IFNa2,9.08759331703186,NaN
CD4+/CD8+,pSTAT5,IL-6,21.860100269317627,NaN
CD8+T cells,pPLCg2,Anthrax,5.974213361740112,12.166065307999874
Neutrophils,IkBa,IL-12,2.4227347373962402,1.1793192186427846
CD4+T cells,pZap70/Syk,IL-4,4.685209512710571,1.8781248552968617
CD4+/CD8+,pS6,IL-4,74.3370532989502,NaN
pDCs,pSTAT4,IFNg,10.286923885345459,36.78474267396763
CD16+/CD11b+,IkBa,GM-CSF,6.115939497947693,9.01338232831018
B Cells,pPLCg2,TNFa,6.7180415391922,12.20242942793806
Basophils,p4E-BP1,IL-6,11.172552585601807,10.82052524323282
CD8+T cells,pSTAT1,R848,20.316030025482178,111.13543579311202
CD4+T cells,pP38,IL-12,13.975597858428955,60.85045813715047
Basophils,pSTAT3,IFNg,49.36797904968262,3976.567891385167
pDCs,pZap70/Syk,IL-12,4.46937096118927,5.117672150637801
CD16+/CD11b-,pTBK1,R848,322.40496826171875,28005.284298228293
CD1c+ B cells,pSTAT1,IL-12,11.116347312927246,NaN
pDCs,IkBa,Basal,10.194285869598389,28.513570789581493
Neutrophils,pP38,GM-CSF,14.59263563156128,41.11892698357623
Neutrophils,p4E-BP1,IFNg,7.655354857444763,8.874223163063846
CD7+/HLA-DR-,pTBK1,GM-CSF,7.647147536277771,33.246947537604214
CD8+T cells,p4E-BP1,R848,7.275023460388184,4.014215121169336
CD8+T cells,pSTAT4,Anthrax,6.141026496887207,12.14844380548581
CD11b-/CD16-,pS6,CD40L,69.42689323425293,1185.1993420391286
B Cells,pTBK1,Basal,10.934741735458374,58.73963464299642
CD4+T cells,pS6,CD40L,45.7319278717041,453.96869961079466
CD1c+ B cells,pS6,Anthrax,74.51491928100586,NaN
Basophils,pPLCg2,IFNg,6.982768535614014,10.044719271165294
CD16+/CD11b+,pErk1/2,IFNg,73.53231811523438,1852.8938769448268
CD8+T cells,Ki67,PMAIono,13.759716033935547,78.52242657351205
CD11b-/CD16-,pSTAT6,IL-12,8.098808288574219,42.285127484334275
B Cells,IkBa,CD40L,3.1661269068717957,3.881068080521862
Basophils,pSTAT6,IL-12,6.427559852600098,27.52744342668084
CD4+/CD8+,pCREB,Anthrax,32.142019271850586,NaN
Basophils,p4E-BP1,TNFa,11.463610649108887,11.55942054448607
CD16+/CD11b+,IkBa,IL-4,6.373677015304565,10.904384804963886
CD4+/CD8+,pP38,LPS,19.837587356567383,NaN
Neutrophils,pSTAT6,IFNa2,3.7812198400497437,14.009039914250645
Neutrophils,pMAPKAPK2,GM-CSF,9.497921466827393,19.150275082530406
CD7+/HLA-DR-,pSTAT4,IL-12,8.52484679222107,22.502652168135384
B Cells,pSTAT1,Ebola VLPs,5.7298197746276855,10.88148247388338
Basophils,pCREB,IFNb,33.135212898254395,264.0176771171887
CD4+T cells,pSTAT6,R848,4.877206325531006,14.14299575757184
CD16+/CD11b+,pCREB,Ebola VLPs,54.25588417053223,815.7751709502688
B Cells,p4E-BP1,Anthrax,25.150113105773926,24.629025274177376
Basophils,pPLCg2,TNFa,6.835609436035156,11.706512000643597
CD7+/HLA-DR-,pMAPKAPK2,CD40L,5.361177206039429,8.361523188862074
Basophils,pP38,Basal,10.550180673599243,36.763811919343645
B Cells,pZap70/Syk,IFNa2,3.908221960067749,3.4729999229825665
B Cells,pSTAT1,CD40L,6.02082622051239,9.808418257286634
Basophils,pP38,IFNa2,10.963460445404053,36.43587039549949
CD11b-/CD16-,pZap70/Syk,PMAIono,4.879349708557129,5.940156607950727
CD7+/HLA-DR-,Ki67,TNFa,11.384276390075684,51.00914457353757
CD7+/HLA-DR-,pMAPKAPK2,PMAIono,5.763012647628784,10.874283832569544
CD11b+/CD16-,p4E-BP1,Anthrax,32.494367599487305,131.26868859575865
B Cells,pSTAT4,R848,8.911751985549927,18.88224086917307
CD16+/CD11b+,pSTAT5,CD40L,22.163645267486572,387.8173737778264
Basophils,pMAPKAPK2,IFNg,7.626676321029663,13.731342584175373
Neutrophils,pS6,IL-4,49.107383728027344,626.5678024443533
B Cells,pCREB,GM-CSF,19.427829265594482,78.58929130698387
CD16+/CD11b+,pPLCg2,IFNg,15.376956462860107,120.33542700778254
CD11b-/CD16-,pErk1/2,IFNb,42.25039291381836,1001.6279021641006
CD1c+ B cells,pSTAT4,PMAIono,10.845651626586914,NaN
CD16+/CD11b-,pPLCg2,GM-CSF,15.19055700302124,99.25382286889811
CD4+/CD8+,pZap70/Syk,IL-6,6.033606052398682,NaN
CD4+/CD8+,pErk1/2,IL-2,51.24751281738281,NaN
Neutrophils,IkBa,R848,1.9461269676685333,0.9742768083718918
CD11b+/CD16-,pPLCg2,CD40L,12.116641521453857,63.44176979111198
CD16+/CD11b+,pSTAT1,IL-6,64.99435329437256,1546.9742688247377
Neutrophils,pP38,IL-6,11.73398208618164,36.4468874863434
CD4+T cells,pTBK1,R848,7.165273308753967,32.33136681290066
pDCs,pP38,IL-2,20.715670585632324,160.50188643683467
CD16+/CD11b-,pTBK1,CD40L,15.247988224029541,126.28960256038515
CD4+/CD8+,Ki67,IFNg,18.410171031951904,NaN
CD11b-/CD16-,pZap70/Syk,TNFa,5.137639880180359,6.572262780280043
CD11b-/CD16-,pCREB,LPS,40.9141845703125,411.79115365290556
CD4+/CD8+,pZap70/Syk,IFNa2,5.88334333896637,NaN
CD7+/HLA-DR-,pZap70/Syk,LPS,3.9418623447418213,4.1739638819308436
CD11b-/CD16-,pErk1/2,LPS,47.866883277893066,1335.3342385432532
CD7+/HLA-DR-,pSTAT5,IFNg,10.314325094223022,47.9034249533459
CD16+/CD11b+,pSTAT6,IL-4,115.23595809936523,1627.2900859830038
Neutrophils,pCREB,GM-CSF,26.56327724456787,130.055914887802
Neutrophils,IkBa,IFNg,2.474453091621399,1.4161292477354908
B Cells,p4E-BP1,GM-CSF,25.556002140045166,24.30747884493389
pDCs,pPLCg2,TNFa,9.938730716705322,34.471579815352136
CD16+/CD11b-,pMAPKAPK2,IL-4,12.404908418655396,21.026906931605563
CD11b-/CD16-,pSTAT3,LPS,63.159034729003906,3713.0745696942286
CD4+/CD8+,pSTAT1,CD40L,43.85020637512207,547.5695186109008
B Cells,pS6,IL-4,44.29879570007324,338.9407223862416
CD11b+/CD16-,pSTAT4,Anthrax,16.604815006256104,101.48921850552269
Neutrophils,pCREB,IFNg,23.237777709960938,138.48056651144998
CD4+T cells,IkBa,IFNb,6.525694370269775,10.6516002622708
CD11b-/CD16-,pTBK1,Anthrax,13.22832441329956,91.45316429697554
CD16+/CD11b+,pSTAT3,IFNb,123.9016342163086,9475.616921815947
CD16+/CD11b-,Ki67,LPS,17.162487506866455,168.04131913980973
CD11b+/CD16-,pSTAT3,PMAIono,81.31631660461426,5938.603763940418
CD11b+/CD16-,IkBa,IFNb,8.103439569473267,19.069450395337117
CD4+T cells,pSTAT5,LPS,12.249393701553345,63.4017531782901
B Cells,pS6,GM-CSF,43.42500114440918,314.849675210208
CD1c+ B cells,pSTAT3,Anthrax,67.6106128692627,NaN
Basophils,pMAPKAPK2,PMAIono,8.846540212631226,26.629368338940314
CD16+/CD11b+,pSTAT1,Ebola VLPs,57.056007385253906,1416.0339418042965
CD16+/CD11b+,Ki67,PMAIono,23.21549081802368,350.9815120613279
Basophils,pSTAT3,IL-4,50.66341495513916,4370.19647986463
CD4+T cells,pSTAT5,IFNa2,26.50580406188965,132.60786525049815
CD8+T cells,pMAPKAPK2,Anthrax,5.741882562637329,8.095778934634476
CD4+/CD8+,pCREB,TNFa,32.566301345825195,NaN
B Cells,pS6,IL-6,43.86486339569092,319.3445017445824
Neutrophils,pTBK1,IL-6,4.496874690055847,12.281162638185574
pDCs,pP38,IL-6,22.22465991973877,242.01934057873993
CD11b-/CD16-,pP38,IFNa2,19.585526943206787,121.58092127242665
CD4+/CD8+,IkBa,Basal,6.688339948654175,NaN
CD11b-/CD16-,pP38,PMAIono,19.588845252990723,144.72326728518658
CD8+T cells,Ki67,IL-2,13.101621866226196,77.27665904707494
CD16+/CD11b-,pSTAT1,IFNg,83.48701286315918,1636.5523285738675
CD4+/CD8+,pSTAT4,Ebola VLPs,7.699127793312073,NaN
CD11b+/CD16-,pPLCg2,IFNg,12.130935668945312,58.06043203355998
Neutrophils,pMAPKAPK2,CD40L,7.088371276855469,13.04849876602457
CD11b-/CD16-,Ki67,R848,34.485857009887695,523.7377342675632
CD4+/CD8+,pZap70/Syk,Anthrax,6.364660024642944,NaN
CD11b-/CD16-,pPLCg2,IFNg,9.776322364807129,30.60119386768824
CD16+/CD11b-,pS6,IL-6,71.11604690551758,1287.3327770433284
B Cells,pCREB,TNFa,19.25509786605835,85.21910437016942
CD11b+/CD16-,pP38,IL-6,18.896092414855957,135.2170455181275
CD11b-/CD16-,IkBa,IFNg,11.76843786239624,39.89488131720398
pDCs,pP38,LPS,20.52996015548706,162.8819239004767
CD11b+/CD16-,pP38,CD40L,18.103992462158203,125.05893024430625
Neutrophils,pErk1/2,IL-6,83.81976318359375,1699.1691120238534
CD16+/CD11b-,pSTAT1,Anthrax,48.72013854980469,1015.3353825920517
CD7+/HLA-DR-,pMAPKAPK2,IL-6,5.14466655254364,8.12395405046134
pDCs,pTBK1,IFNg,11.344065189361572,99.36269688500794
CD4+/CD8+,pMAPKAPK2,R848,8.9919273853302,NaN
CD16+/CD11b+,pCREB,PMAIono,57.50178337097168,1231.9971580976544
CD4+/CD8+,pS6,GM-CSF,73.02692222595215,NaN
Basophils,p4E-BP1,LPS,10.898342609405518,11.095592358688974
CD11b-/CD16-,pSTAT1,R848,25.997204780578613,422.67296514056204
B Cells,pMAPKAPK2,IFNb,6.461353778839111,8.584446451048931
CD1c+ B cells,pTBK1,IFNa2,15.416539907455444,NaN
CD1c+ B cells,pS6,IFNb,73.04637145996094,NaN
CD16+/CD11b-,IkBa,LPS,4.617663621902466,4.4353476481790395
pDCs,pSTAT6,CD40L,8.622400283813477,46.07181237010038
CD8+T cells,pS6,IFNa2,44.82279682159424,440.30061253965073
CD8+T cells,pErk1/2,Basal,26.188199043273926,205.81095661375173
CD4+T cells,pTBK1,Basal,7.141128897666931,29.08789063292019
CD7+/HLA-DR-,pErk1/2,IFNa2,23.579160690307617,250.21040364489605
CD7+/HLA-DR-,pSTAT4,IFNa2,18.64525079727173,65.2841367159434
Neutrophils,pTBK1,IFNb,4.665852069854736,14.380858132092841
pDCs,IkBa,IL-2,9.856480836868286,26.61245115667703
CD11b+/CD16-,pSTAT5,R848,18.7168550491333,198.76224727059315
CD7+/HLA-DR-,pPLCg2,IL-2,7.011025786399841,19.70602991834467
CD11b+/CD16-,pSTAT4,IL-4,15.694257259368896,91.83425811417976
CD11b-/CD16-,pZap70/Syk,IL-6,5.211994886398315,6.703390322739628
Basophils,pTBK1,LPS,12.95612096786499,82.60900525545672
CD11b+/CD16-,pErk1/2,LPS,87.19084358215332,2146.35457005688
CD16+/CD11b-,pPLCg2,IL-6,14.949731349945068,89.09640536098307
Neutrophils,pSTAT5,IL-4,17.20812225341797,123.75813073117239
CD4+/CD8+,Ki67,PMAIono,19.196918487548828,NaN
pDCs,pZap70/Syk,LPS,4.520689010620117,5.8117398432468015
CD16+/CD11b-,pPLCg2,PMAIono,14.432648658752441,106.32808385909956
CD8+T cells,pSTAT3,IFNb,56.548683166503906,2533.6243837667603
Neutrophils,IkBa,IFNb,2.333750009536743,1.1816561490650652
CD4+T cells,pSTAT1,IL-12,22.880908012390137,137.725399289079
B Cells,pErk1/2,IL-12,27.84038782119751,221.48887661349082
CD16+/CD11b+,p4E-BP1,GM-CSF,28.37454128265381,128.0992436729338
B Cells,pPLCg2,GM-CSF,6.4507691860198975,10.495596958727246
CD16+/CD11b-,pZap70/Syk,GM-CSF,6.628072500228882,9.027725340198986
CD8+T cells,pP38,GM-CSF,14.308921813964844,45.9732340554224
CD1c+ B cells,p4E-BP1,IL-6,32.99244689941406,NaN
CD7+/HLA-DR-,pPLCg2,CD40L,6.334047436714172,17.046083419148328
Neutrophils,pCREB,PMAIono,28.484688758850098,175.01233256259783
CD4+/CD8+,pErk1/2,IL-12,54.609840393066406,NaN
CD16+/CD11b+,pCREB,IL-4,50.08754920959473,801.3823953993875
CD1c+ B cells,pPLCg2,IL-4,9.32129168510437,NaN
CD16+/CD11b-,IkBa,IFNg,5.223715782165527,4.906712948996662
Neutrophils,Ki67,IL-6,9.805063247680664,51.43262415510644
CD4+T cells,pSTAT6,IL-6,5.30034077167511,15.723366939755797
CD16+/CD11b+,pErk1/2,Basal,73.90414810180664,1973.7848615954808
CD8+T cells,pPLCg2,IL-4,5.805522799491882,11.083889391927336
CD4+T cells,pP38,LPS,13.669091701507568,55.26766962369969
CD1c+ B cells,pTBK1,IL-12,17.143692016601562,NaN
CD16+/CD11b-,pSTAT1,IFNa2,75.27711868286133,1665.0199948658185
CD8+T cells,p4E-BP1,PMAIono,7.3402663469314575,4.688121103045631
CD8+T cells,pZap70/Syk,IL-12,4.490256309509277,1.7840015034395635
pDCs,pMAPKAPK2,IL-6,10.005481243133545,21.45088947536549
Neutrophils,pCREB,IL-12,23.87501096725464,127.00240881411756
pDCs,pCREB,Basal,25.058924198150635,187.84842177266685
CD11b-/CD16-,Ki67,IL-2,35.136892318725586,525.0234071545813
CD7+/HLA-DR-,pTBK1,IL-6,7.631389737129211,36.40322482597335
Basophils,Ki67,IL-2,17.107463836669922,88.65163112129584
CD16+/CD11b-,pSTAT5,IFNb,42.066569328308105,407.58215794341913
CD16+/CD11b+,pCREB,IFNa2,49.38293647766113,851.2710423844871
pDCs,pCREB,IFNa2,25.566739559173584,213.42319697327582
B Cells,pPLCg2,IFNb,6.547062873840332,12.514763582544417
CD4+T cells,pSTAT4,PMAIono,7.2865577936172485,18.469901833063176
Neutrophils,pSTAT6,LPS,3.6602599024772644,11.921153579914403
pDCs,pCREB,R848,34.23055839538574,506.56761789893267
CD8+T cells,pS6,PMAIono,45.44271945953369,489.562287030512
Neutrophils,pSTAT4,IL-4,7.955581068992615,26.644713699267825
CD4+/CD8+,pSTAT1,Ebola VLPs,42.847856521606445,NaN
Neutrophils,pPLCg2,GM-CSF,7.049803256988525,16.875825071358182
CD8+T cells,pTBK1,IL-4,6.379025936126709,25.648371197484426
CD16+/CD11b-,pSTAT3,CD40L,65.36520195007324,4340.523592056482
CD16+/CD11b+,IkBa,CD40L,5.817475318908691,10.177315063919357
CD11b+/CD16-,pS6,Basal,75.64474487304688,1619.3169335407115
CD1c+ B cells,IkBa,LPS,10.803107261657715,NaN
pDCs,pSTAT5,IFNg,18.249908924102783,144.84960551048752
CD8+T cells,pTBK1,Ebola VLPs,6.392277240753174,25.150162419004445
CD4+T cells,pSTAT6,Anthrax,5.016367554664612,15.087425400039354
CD7+/HLA-DR-,pMAPKAPK2,IFNg,5.52526330947876,8.772642678565179
CD7+/HLA-DR-,pTBK1,IFNg,7.581115007400513,33.40526038954111
Basophils,IkBa,R848,6.011240601539612,7.438398547992257
CD8+T cells,pPLCg2,IL-6,5.809820532798767,10.894403236630513
CD4+T cells,Ki67,CD40L,17.0326886177063,108.93508283209688
CD4+/CD8+,pMAPKAPK2,CD40L,9.205849170684814,40.88370461374296
Basophils,pZap70/Syk,PMAIono,3.2957760095596313,3.548391269407346
Neutrophils,pMAPKAPK2,LPS,9.919045448303223,24.35520879947498
pDCs,pZap70/Syk,IL-2,4.864197373390198,5.162964418829289
Basophils,pSTAT5,IL-6,26.164625644683838,138.3356302562737
CD11b-/CD16-,pErk1/2,IFNg,39.676615715026855,542.6222542310596
CD4+/CD8+,pSTAT3,IFNa2,87.47518539428711,NaN
B Cells,pSTAT3,Basal,39.29049491882324,2327.7187965191542
pDCs,pSTAT5,Basal,17.35077953338623,190.64655330913354
CD7+/HLA-DR-,pS6,Anthrax,41.149203300476074,554.830618728159
CD8+T cells,p4E-BP1,IFNb,6.879322409629822,3.733585814611291
Neutrophils,p4E-BP1,IL-4,6.7612714767456055,7.157410995483971
CD4+T cells,p4E-BP1,GM-CSF,9.137782335281372,6.195271901447713
CD4+/CD8+,pTBK1,IFNa2,8.149115085601807,NaN
pDCs,pMAPKAPK2,IL-2,9.770421743392944,21.738780369933963
CD11b+/CD16-,pSTAT3,Anthrax,93.54141044616699,5814.7299401713635
CD1c+ B cells,pMAPKAPK2,IFNg,8.931583642959595,NaN
CD11b+/CD16-,pSTAT5,CD40L,18.899564743041992,231.4635077245171
CD11b+/CD16-,pTBK1,Ebola VLPs,12.55464220046997,107.51977158933522
CD4+/CD8+,pSTAT4,IL-4,7.643714427947998,NaN
CD7+/HLA-DR-,Ki67,Anthrax,11.69094181060791,49.20788602506709
B Cells,pSTAT5,IL-12,13.558886051177979,78.42163658520855
CD1c+ B cells,pSTAT1,R848,12.219095945358276,NaN
Neutrophils,pSTAT6,Ebola VLPs,3.6273306012153625,9.399270831513508
CD7+/HLA-DR-,pMAPKAPK2,IFNa2,5.211230039596558,8.167981563300295
CD16+/CD11b-,pErk1/2,CD40L,52.60807418823242,1037.1315152832665
pDCs,pSTAT3,IFNg,65.90097045898438,2836.042986356845
Basophils,pP38,IFNg,11.385599374771118,36.55779272680915
CD7+/HLA-DR-,pS6,Ebola VLPs,39.17481803894043,511.30462163819095
CD4+T cells,Ki67,R848,17.15156126022339,106.76658807117113
pDCs,pErk1/2,R848,41.52159786224365,816.6589281057886
B Cells,p4E-BP1,PMAIono,25.80761957168579,25.051587338777093
CD7+/HLA-DR-,p4E-BP1,LPS,6.196326851844788,4.478684774241101
Basophils,pS6,IL-2,49.04678821563721,641.4759318192312
CD16+/CD11b+,pSTAT4,IL-12,17.55849599838257,157.74629253889506
Neutrophils,pMAPKAPK2,IFNg,7.032810807228088,13.057499542921054
